SPECIES,COMMONNAME
Cowania stansburyana,Stansbury's Cliffrose
Cowania subintegra,Arizona Cliff Rose
Cragaegus douglasii var. rivularis,River Hawthorn
Crangonyctidae,Gammarid Amphipods
Crangonyx,
Crangonyx pseudogracilis,Northern River Crangonyctid
Crassula,
Crassula aquatica,Water Pygmyweed
Crassula saginoides,Water Pygmyweed
Crassula viridis,Prickly-seed Pygmyweed
Crassulaceae,stonecrop family
Crataegus,hawthorn
Crataegus erythropoda,Cerro Hawthorn
Crataegus rivularis,River Hawthorn
Craugastor,
Craugastor augusti,Barking Frog
Craugastor augusti cactorum,Western Barking Frog
Craugastoridae,Robber Frogs
Cricetidae,
Crossosoma,
Crossosoma parviflorum,Small-flowered Crossosoma
Crossosomataceae,crossosoma family
Crotalus,
Crotalus abyssus,Grand Canyon Rattlesnake
Crotalus atrox,Western Diamond-backed Rattlesnake
Crotalus cerastes,Sidewinder
Crotalus cerastes cerastes,Mohave Desert Sidewinder
Crotalus cerastes cercobombus,Sonoran Sidewinder
Crotalus cerastes laterorepens,Colorado Desert Sidewinder
Crotalus cerberus,Arizona Black Rattlesnake
Crotalus concolor,Midget Faded Rattlesnake
Crotalus lepidus,Rock Rattlesnake
Crotalus lepidus klauberi,Banded Rock Rattlesnake
Crotalus lutosus,Great Basin Rattlesnake
Crotalus mitchellii,Speckled Rattlesnake
Crotalus molossus,Black-tailed Rattlesnake
Crotalus oreganus,Western Rattlesnake
Crotalus oreganus abyssus,Grand Canyon Rattlesnake
Crotalus oreganus cerberus,Arizona Black Rattlesnake
Crotalus oreganus concolor,Midget Faded Rattlesnake
Crotalus oreganus lutosus,Great Basin Rattlesnake
Crotalus pricei,Twin-spotted Rattlesnake
Crotalus pyrrhus,Speckled Rattlesnake
Crotalus scutulatus,Mohave Rattlesnake
Crotalus tigris,Tiger Rattlesnake
Crotalus viridis,Prairie Rattlesnake
Crotalus viridis abyssus,Grand Canyon Rattlesnake
Crotalus viridis cerberus,Arizona Black Rattlesnake
Crotalus viridis lutosus,Great Basin Rattlesnake
Crotalus viridis nuntius,Prairie Rattlesnake
Crotalus willardi,Ridge-nosed Rattlesnake
Crotalus willardi obscurus,New Mexico Ridge-nosed Rattlesnake
Crotalus willardi willardi,Arizona Ridge-nosed Rattlesnake
Crotaphytidae,
Crotaphytus,
Crotaphytus bicinctores,Great Basin Collared Lizard
Crotaphytus collaris,Eastern Collared Lizard
Crotaphytus collaris baileyi,Eastern Collared Lizard
Crotaphytus nebrius,Sonoran Collared Lizard
Croton,croton
Croton ciliatoglandulifer,Tropical Glandular Croton
Croton fruticulosus,Encinillas
Croton wigginsii,Dune Croton
Crotophaga,
Crotophaga sulcirostris,Groove-billed Ani
Crypsis squarrosa,Munro's Grass
Cryptantha,cryptantha
Cryptantha atwoodii,Atwood's Catseye
Cryptantha capitata,Hermit Catseye
Cryptantha cinerea,James Cat's-eye
Cryptantha cinerea var. arenicola,A Cat's-eye
Cryptantha ganderi,Gander's Cryptantha
Cryptantha insolita,Unusual Cat's-eye
Cryptantha longiflora,Long-flowered Cat's-eye
Cryptantha muricata,Pointed Cat's-Eye
Cryptantha semiglabra,Pipe Springs Cryptantha
Ctenopharyngodon,
Ctenopharyngodon idella,Grass Carp
Ctenosaura,
Ctenosaura pectinata,Western Spiny-taled Iguana
Cuculidae,cuckoos and allies
Cucumis,
Cucumis melo,Canteloupe
Cucurbitaceae,cucumber family
Culoptila,
Culoptila cantha,A Caddisfly
Culoptila kimminsi,A Caddisfly
Culoptila moselyi,A Caddisfly
Culoptila thoracica,A Caddisfly
Cupido,
Cupido (Everes) amyntula,Western Tailed-blue
Cupido (Everes) comyntas,Eastern Tailed-blue
Cuscuta,dodder
Cuscuta dentatasquamata,Los Pinitos Dodder
Cuscuta denticulata,Desert Dodder
Cuscuta indecora,Pretty Dodder
Cuscuta mitriformis,Cochise Dodder
Cuscuta odontolepis,Santa Rita Dodder
Cuscuta tuberculata,Tubercle Dodder
Cuscuta warneri,Warner's Dodder
Cuscutaceae,dodder family
Cyanocitta,
Cyanocitta cristata,Blue Jay
Cyanocitta stelleri,Steller's Jay
Cyanocitta woodhouseii,Woodhouse's Scrub-Jay
Cycladenia,
Cycladenia humilis,Sacramento Cycladenia
Cycladenia humilis var. jonesii,Jones Cycladenia
Cygnus,
Cygnus buccinator,Trumpeter Swan
Cygnus columbianus,Tundra Swan
Cylindera,
Cylindera debilis,Grass-runner Tiger Beetle
Cylindera lemniscata,White-striped Tiger Beetle
Cylindera lemniscata lemniscata,White-striped Tiger Beetle
Cylindera terricola,Variable Tiger Beetle
Cylindera terricola cinctipennis,Variable Tiger Beetle
Cylindera terricola imperfecta,Imperfect Tiger Beetle
Cylindera terricola kaibabensis,Kaibab Tiger Beetle
Cylindera viridisticta,Pygmy Tiger Beetle
Cylindera viridisticta arizonensis,Pygmy Tiger Beetle
Cylindropuntia,Cholla
Cylindropuntia multigeniculata,Blue Diamond Cholla
Cylindropuntia versicolor,Stag-horn Cholla
Cylindropuntia x kelvinensis,Kelvin Cholla
Cylindropuntia x tetracantha,Tucson Prickly-pear
Cylloepus,
Cylloepus parkeri,Parker's Cylloepus Riffle Beetle
Cyllopsis,
Cyllopsis pertepida,Warm Brown
Cyllopsis pyracmon,Pyracmon Brown
Cyllopsis pyracmon henshawi,Henshaw's Brown
Cyllopsis pyracmon nabokovi,Henshaw's Brown
Cymaenes,
Cymaenes trebius,Fawn-spotted Skipper
Cymbiodyta,
Cymbiodyta arizonica,Chiricahua Water Scavenger Beetle
Cymopterus,springparsley
Cymopterus beckii,Featherleaf Spring Parsley
Cymopterus davidsonii,Davidson Cliff Carrot
Cymopterus jonesii,Jone's Wavewing
Cymopterus megacephalus,Cameron Water-parsley
Cymopterus newberryi,Sweetroot Spring-parsely
Cymopterus purpureus var. jonesii,Jone's Wavewing
Cynanchum,
Cynanchum arizonicum,Arizona Swallow-wort
Cynanchum ligulatum,Sinaloa Milkweed Vine
Cynanchum utahense,Utah Swallowwort
Cynanchum wigginsii,Wiggins Milkweed Vine
Cynanthus,
Cynanthus latirostris,Broad-billed Hummingbird
Cynomys,
Cynomys gunnisoni,Gunnison's Prairie Dog
Cynomys ludovicianus,Black-tailed Prairie Dog
Cynomys ludovicianus arizonensis,Black-tailed Prairie Dog
Cynoscion,
Cynoscion xanthulus,Orangemouth Corvina
Cyperaceae,sedge family
Cyperus,flatsedge
Cyperus acuminatus,Tapertip Flatsedge
Cyperus acuminatus var. cyrtolepis,Tapertip Flatsedge
Cyperus aristatus,Awned Flat Sedge
Cyperus aristatus var. inflexus,Awned Flat Sedge
Cyperus aristatus var. runyonii,Awned Flat Sedge
Cyperus asper,Mutis' Flatsedge
Cyperus bipartitus,Shining Flatsedge
Cyperus cupreus,Red-root Flat Sedge
Cyperus cyrtolepis,Tapertip Flatsedge
Cyperus cyrtolepis var. denticarinatus,Tapertip Flatsedge
Cyperus erythrorhizos,Red-root Flat Sedge
Cyperus erythrorhizos var. cupreus,Red-root Flat Sedge
Cyperus halei,Red-root Flat Sedge
Cyperus hypopitys,Pine Flatsedge
Cyperus inflexus,Awned Flat Sedge
Cyperus lagunetto,Shining Flatsedge
Cyperus mutisii,Mutis' Flatsedge
Cyperus mutisii var. asper,Mutis' Flatsedge
Cyperus niger var. rivularis,Shining Flatsedge
Cyperus occidentalis,Red-root Flat Sedge
Cyperus pringlei,Mutis' Flatsedge
Cyperus rivularis,Shining Flatsedge
Cyperus rivularis ssp. lagunetto,Shining Flatsedge
Cyperus rivularis var. acutatus,Shining Flatsedge
Cyperus rivularis var. lagunetto,Shining Flatsedge
Cyperus rufescens var. denticarinatus,Tapertip Flatsedge
Cyperus schweinitzii,Schweinitz's Flatsedge
Cyperus squarrosus,Awned Flat Sedge
Cyperus squarrosus var. runyonii,Awned Flat Sedge
Cyperus washingtonensis,Red-root Flat Sedge
Cyprinella,
Cyprinella formosa,Beautiful Shiner
Cyprinella formosa mearnsi,Beautiful Shiner
Cyprinella lutrensis,Red Shiner
Cyprinella venusta,Spottail Shiner
Cyprinidae,minnows and carps
Cyprinodon,
Cyprinodon arcuatus,Santa Cruz Pupfish
Cyprinodon eremus,Quitobaquito Pupfish
Cyprinodon macularius,Desert Pupfish
Cyprinodon macularius eremus,Quitobaquito Pupfish
Cyprinodontidae,pupfishes
Cyprinus,
Cyprinus carpio,Common Carp
Cypripedium,
Cypripedium bulbosum,Fairy Slipper
Cypripedium calceolus,Yellow Lady's-slipper
Cypripedium calceolus var. pubescens,Yellow Lady's-slipper
Cypripedium parviflorum,American Yellow Lady's-slipper
Cypripedium parviflorum var. pubescens,Yellow Lady's-slipper
Cypseloides,
Cypseloides niger,Black Swift
Cyrtonyx,
Cyrtonyx montezumae,Montezuma Quail
Cyrtopodion,
Cyrtopodion scabrum,Rough-tailed Gecko
Cyrtorhyncha cymbalaria,Shore Buttercup
Cyrtorhyncha cymbalaria ssp. alpina,Shore Buttercup
Cystopteris,bladderfern
Cystopteris bulbifera,Bulblet Fern
Cystopteris utahensis,Utah Bladder-fern
Cytherea borealis,Fairy Slipper
Cytherea bulbosa,Fairy Slipper
Cyzicidae,
Cyzicus,
Cyzicus mexicanus,Mexican Clam Shrimp
Cyzicus setosa,Bristletail Clam Shrimp
Daihinibaenetes,
Daihinibaenetes arizonensis,Arizona Giant Sand Treader Cricket
Dalea,prairie clover
Dalea amoena,Mojave Indigo Bush
Dalea amoena var. pubescens,Mojave Indigo Bush
Dalea calycosa,San Pedro False Prairie-clover
Dalea diffusa,Spreading False Prairie-clover
Dalea exigua,Slender Dalea
Dalea fremontii,Fremont's Dalea
Dalea fremontii var. pubescens,Mojave Indigo Bush
Dalea lumholtzii,Lumholtz's Prairie-clover
Dalea parryi,Parry's False Prairie-clover
Dalea pulchra,Santa Catalina Prairie Clover
Dalea schottii,Schott's Indigobush
Dalea schottii var. puberula,Schott's Indigobush
Dalea scoparia,Broom Dalea
Dalea spinosa,Smoketree
Dalea tentaculoides,Gentry's Indigo Bush
Dalea whitingii,Whiting's Indigobush
Danaus,
Danaus eresimus,Soldier
Danaus gilippus,Queen
Danaus plexippus,Monarch
Danthonia,oatgrass
Danthonia californica,Oat Grass
Dasylophia,
Dasylophia seriata,A Notodontid Moth
Dendragapus,
Dendragapus obscurus,Dusky Grouse
Dendrocygna,
Dendrocygna autumnalis,Black-bellied Whistling-Duck
Dendrocygna bicolor,Fulvous Whistling-Duck
Dendroica caerulescens,Black-throated Blue Warbler
Dendroica castanea,Bay-breasted Warbler
Dendroica cerulea,Cerulean Warbler
Dendroica coronata,Yellow-rumped Warbler
Dendroica discolor,Prairie Warbler
Dendroica dominica,Yellow-throated Warbler
Dendroica fusca,Blackburnian Warbler
Dendroica graciae,Grace's Warbler
Dendroica magnolia,Magnolia Warbler
Dendroica nigrescens,Black-throated Gray Warbler
Dendroica occidentalis,Hermit Warbler
Dendroica palmarum,Palm Warbler
Dendroica pensylvanica,Chestnut-sided Warbler
Dendroica petechia,Yellow Warbler
Dendroica pinus,Pine Warbler
Dendroica striata,Blackpoll Warbler
Dendroica tigrina,Cape May Warbler
Dendroica townsendi,Townsend's Warbler
Dendroica virens,Black-throated Green Warbler
Dermatophyllum arizonicum,Arizona Necklace
Deroceras,
Deroceras laeve,Meadow Slug
Desmanthus,bundleflower
Desmanthus bicornutus,Ruby Bundleflower
Desmanthus covillei,Coville Bundleflower
Desmanthus glandulosus,Glandular Bundleflower
Desmanthus virgatus var. glandulosus,Glandular Bundleflower
Desmodium,ticktrefoil
Desmodium gramineum,Grass-Leaf Tick-Trefoil
Desmodium metcalfei,Metcalfe's Tick-trefoil
Desmodium metcalfii,Metcalfe's Tick-trefoil
Desmodium psilocarpum,Santa Cruz Island Tick-Trefoil
Diadophis,
Diadophis punctatus,Ring-necked Snake
Diarrhena aquatica,Water Whorlgrass
Dichondra,
Dichondra argentea,Silver Pony Foot
Dichondra repens,Tropical Pony's-foot
Dichondra repens var. sericea,Silky Pony Foot
Dichostylis aristata,Awned Flat Sedge
Dichromanthus,
Dichromanthus michuacanus,Michoacan Ladies'-tresses
Dichroplus,
Dichroplus notatus,A Short-horned Grasshopper
Dicotyles tajacu,Collared Peccary
Didelphidae,Opossums
Didelphis,
Didelphis virginiana,Virginia Opossum
Didelphis virginiana californica,Mexican Opossum
Didelphis virginiana virginiana,Virginia Opossum
Didymosphenia,
Didymosphenia geminata,Didymo
Dieteria bigelovii,Bigelow's Tansy-aster
Dieteria bigelovii var. bigelovii,Bigelow's Tansy-aster
Dieteria bigelovii var. mucronata,Bigelow's Tansy-aster
Dieunomia,
Dieunomia apacha,
Dieunomia boharti,
Dieunomia heteropoda,
Dieunomia mesillae,
Dieunomia micheneri,
Dieunomia nevadensis,
Dieunomia xerophila,
Diomedeidae,
Diplacus cardinalis,Scarlet Monkey-flower
Dipodidae,
Dipodomys,
Dipodomys deserti,Desert Kangaroo Rat
Dipodomys merriami,Merriam's Kangaroo Rat
Dipodomys microps,Chisel-toothed Kangaroo Rat
Dipodomys microps celsus,A Chisel-toothed Kangaroo Rat
Dipodomys microps leucotis,Houserock Valley Chisel-toothed Kangaroo Rat
Dipodomys ordii,Ord's Kangaroo Rat
Dipodomys spectabilis,Banner-tailed Kangaroo Rat
Dipodomys spectabilis baileyi,New Mexico Banner-tailed Kangaroo Rat
Dipodomys spectabilis clarenci,New Mexico Banner-tailed Kangaroo Rat
Dipsosaurus,
Dipsosaurus dorsalis,Desert Iguana
Discidae,
Discus,
Discus shimekii,Striate Disc
Discus shimekii cockerelli,Striate Disc
Discus whitneyi,Forest Disc
Disphragis,
Disphragis captiosa,A Notodontid Moth
Distasis concinna,Brandegee's Fleabane
Dolbogene,
Dolbogene hartwegii,Hartweg's Sphinx
Dolichonyx,
Dolichonyx oryzivorus,Bobolink
Dolophilodes,
Dolophilodes novusamericana,A Caddisfly
Dolophilodes novusamericanus,A Caddisfly
Dorosoma,
Dorosoma cepedianum,Gizzard Shad
Dorosoma petenense,Threadfin Shad
Doxocopa,
Doxocopa laure,Laure
Draba,draba
Draba asprella,Rough Whitlow-grass
Draba asprella var. asprella,Rough Whitlow-grass
Draba asprella var. kaibabensis,Rough Draba
Draba asprella var. stelligera,Rough Draba
Draba helleriana var. blumeri,Blumer's Draba
Draba petrophila,Blumer's Draba
Draba standleyi,Standley Whitlow-grass
Dreissena,
Dreissena bugensis,Quagga Mussel
Dreissenidae,
Drepanotrema,
Drepanotrema aeruginosum,Rusty Rams-horn
Drymaria,
Drymaria viscosa,Sticky Drymary
Dryobates,
Dryobates arizonae,Arizona Woodpecker
Dryobates pubescens,Downy Woodpecker
Dryobates scalaris,Ladder-backed Woodpecker
Dryobates villosus,Hairy Woodpecker
Dryophytes wrightorum,Arizona Treefrog
Dryopteridaceae,wood-fern family
Dryopteris,woodfern
Dryopteris arguta,Coastal Woodfern
Dryopteris cinnamomea,Cinnamon Woodfern
Dudleya,dudleya
Dudleya collomiae,Gila County Liveforever
Dudleya saxosa ssp. collomiae,Gila County Liveforever
Dumetella,
Dumetella carolinensis,Gray Catbird
Dymasia,
Dymasia dymas,Dymas Checkerspot
Dyssodia concinna,Sonoran Pricklyleaf
Dythemis,
Dythemis fugax,Checkered Setwing
Dythemis maya,Mayan Setwing
Dythemis nigrescens,Black Setwing
Dythemis velox,Swift Setwing
Earleocassia bauhinioides,Twinleaf Senna
Ecdyonurus,
Ecdyonurus criddlei,A Mayfly
Ecdyonurus simplicioides,A Mayfly
Echeveria bartramii,Bartram Stonecrop
Echeveria collomiae,Gila County Liveforever
Echeveria rusbyi,San Francisco River Leather-petal
Echinargus,
Echinargus isola,Reakirt's Blue
Echinocactus,
Echinocactus emoryi,Emory's Barrel-cactus
Echinocactus horizonthalonius,Turk's Head Cactus
Echinocactus horizonthalonius var. nicholii,Nichol Turk's Head Cactus
Echinocactus intertextus,White Fishhook Cactus
Echinocactus johnsonii,Johnson's Fishhook Cactus
Echinocactus polycephalus,Cotton-top Cactus
Echinocactus polycephalus var. polycephalus,Clustered Barrel Cactus
Echinocactus polycephalus var. xeranthemoides,Grand Canyon Cottontop Cactus
Echinocactus viridescens var. cylindraceus,Desert Barrel Cactus
Echinocactus whipplei var. intermedius,Intermediate Fishhook Cactus
Echinocactus wislizeni,Compass Barrel Cactus
Echinocactus xeranthemoides,Grand Canyon Cottontop Cactus
Echinocereus,hedgehog cactus
Echinocereus arizonicus,Arizona Hedgehog Cactus
Echinocereus arizonicus ssp. arizonicus,Arizona Hedgehog Cactus
Echinocereus arizonicus ssp. nigrihorridispinus,Black-spined Hedgehog Cactus
Echinocereus bonkerae,Pinkflower Hedgehog Cactus
Echinocereus bristolii var pseudopectinatus,Devil-thorn
Echinocereus coccineus,Scarlet Hedgehog Cactus
Echinocereus coccineus ssp. aggregatus,Scarlet Hedgehog Cactus
Echinocereus coccineus var. arizonicus,Arizona Hedgehog Cactus
Echinocereus engelmannii,Engelmann's Hedgehog Cactus
Echinocereus engelmannii ssp. fasciculatus,Magenta-flower Hedgehog-cactus
Echinocereus engelmannii var. acicularis,Engelmann's Hedgehog Cactus
Echinocereus engelmannii var. chrysocentrus,Engelmann's Hedgehog Cactus
Echinocereus engelmannii var. engelmannii,Engelmann's Hedgehog Cactus
Echinocereus engelmannii var. nicholii,Nichol's Hedgehog Cactus
Echinocereus engelmannii var. variegatus,Echinocereus Hedgehog Cactus
Echinocereus fasciculatus,Magenta-flower Hedgehog-cactus
Echinocereus fasciculatus var. bonkerae,Pinkflower Hedgehog Cactus
Echinocereus fasciculatus var. boyce-thompsonii,Magenta-flower Hedgehog-cactus
Echinocereus fendleri,Fendler Hedgehog-cactus
Echinocereus fendleri var. bonkerae,Pinkflower Hedgehog Cactus
Echinocereus fendleri var. boyce-thompsonii,Magenta-flower Hedgehog-cactus
Echinocereus fendleri var. fasciculatus,Magenta-flower Hedgehog-cactus
Echinocereus fendleri var. ledingii,Pinaleno Hedgehog Cactus
Echinocereus fendleri var. robustus,Magenta-flower Hedgehog-cactus
Echinocereus ledingii,Pinaleno Hedgehog Cactus
Echinocereus nicholii,Nichol's Hedgehog Cactus
Echinocereus pectinatus,Devil-thorn
Echinocereus pectinatus var. dasyacanthus,Devil-thorn
Echinocereus pectinatus var. pectinatus,Devil-thorn
Echinocereus pectinatus var. rigidissimus,Arizona Rainbow Cactus
Echinocereus pseudopectinatus,Devil-thorn
Echinocereus rectispinus var. robustus,Magenta-flower Hedgehog-cactus
Echinocereus rigidissimus,Arizona Rainbow Cactus
Echinocereus santaritensis,Santa Rita Hedgehog Cactus
Echinocereus scopulorum ssp. pseudopectinatus,Devil-thorn
Echinocereus triglochidiatus,Mound Hedgehog-cactus
Echinocereus triglochidiatus var. arizonicus,Arizona Hedgehog Cactus
Echinocereus triglochidiatus var. melanacanthus,Scarlet Hedgehog Cactus
Echinocereus triglochidiatus var. polyacanthus,Santa Rita Hedgehog Cactus
Echinocereus triglochidiatus var. rosei,Santa Rita Hedgehog Cactus
Echinocereus yavapaiensis,Yavapai Hedgehog Cactus
Echinodorus,burhead
Echinodorus berteroi,Upright Burrhead
Echinodorus berteroi var. lanceolatus,Upright Burrhead
Echinodorus rostratus,Upright Burrhead
Echinodorus rostratus var. lanceolatus,Upright Burrhead
Echinomastus,
Echinomastus erectocentrus,Red-spine Butterfly-cactus
Echinomastus erectocentrus var. acunensis,Acuna Cactus
Echinomastus erectocentrus var. erectocentrus,Needle-spined Pineapple Cactus
Echinomastus intertextus,White Fishhook Cactus
Echinomastus johnsonii,Johnson's Fishhook Cactus
Echinomastus johnsonii var. lutescens,Johnson's Fishhook Cactus
Ecinocereus apachensis,Pinkflower Hedgehog Cactus
Egretta,
Egretta caerulea,Little Blue Heron
Egretta rufescens,Reddish Egret
Egretta thula,Snowy Egret
Egretta tricolor,Tricolored Heron
Eichhornia,water hyacinth
Eichhornia crassipes,Common Water-hyacinth
Elaeagnaceae,
Elaeagnus,oleaster
Elaeagnus angustifolia,Russian Olive
Elanoides,
Elanoides forficatus,Swallow-tailed Kite
Elanus,
Elanus caeruleus,White-tailed Kite
Elanus leucurus,White-tailed Kite
Elaphe emoryi,Great Plains Ratsnake
Elaphe guttata emoryi,Great Plains Ratsnake
Elapidae,
Elatinaceae,waterwort family
Elatine,waterwort
Elatine brachysperma,Shortseed Waterwort
Elatine californica,California Waterwort
Elatine californica var. williamsii,California Waterwort
Elatine obovata,Shortseed Waterwort
Elatine rubella,Southwestern Waterwort
Elatine triandra,Southwestern Waterwort
Elatine triandra var. brachysperma,Shortseed Waterwort
Elatine williamsii,California Waterwort
Eleocharis,spikerush
Eleocharis acicularis,Needle Spikerush
Eleocharis acicularis var. acicularis,Needle Spikerush
Eleocharis acicularis var. gracilescens,Needle Spikerush
Eleocharis acicularis var. occidentalis,Needle Spikerush
Eleocharis acicularis var. porcata,Needle Spikerush
Eleocharis acicularis var. radicans,Rooted Spikerush
Eleocharis acicularis var. submersa,Needle Spikerush
Eleocharis acicularis var. typica,Needle Spikerush
Eleocharis bernardina,Few-flower Spikerush
Eleocharis calva var. australis,Common Spike-rush
Eleocharis capitata var. dispar,Canada Spikesedge
Eleocharis caribaea,Canada Spikesedge
Eleocharis caribaea var. dispar,Canada Spikesedge
Eleocharis engelmanni,Engelmann's Spikerush
Eleocharis engelmannii,Engelmann's Spikerush
Eleocharis engelmannii var. monticola,Engelmann's Spikerush
Eleocharis engelmannii var. robusta,Engelmann's Spikerush
Eleocharis fernaldii,Few-flower Spikerush
Eleocharis flavescens,Pale Spike-rush
Eleocharis geniculata,Canada Spikesedge
Eleocharis lindheimeri,Rooted Spikerush
Eleocharis mamillata,Common Spike-rush
